Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 1060.2
Real Time (s), 1066.16
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
78, 36.36370116610001, 1
79, 36.82320118090001, 2
80, 37.28270119570001, 0
81, 37.742201210500006, 0
82, 38.201701225300006, 1
83, 38.661201240100006, 4
84, 39.120701254900005, 1
85, 39.580201269700005, 5
86, 40.039701284500005, 3
87, 40.499201299300005, 4
88, 40.958701314100004, 1
89, 41.418201328900004, 0
90, 41.877701343700004, 1
91, 42.3372013585, 1
92, 42.7967013733, 0
93, 43.2562013881, 3
94, 43.7157014029, 2
95, 44.1752014177, 2
96, 44.6347014325, 0
97, 45.09420144730001, 1
98, 45.55370146210001, 2
99, 46.01320147690001, 2
100, 46.47270149170001, 4
101, 46.93220150650001, 5
102, 47.39170152130001, 4
103, 47.85120153610001, 7
104, 48.310701550900006, 4
105, 48.770201565700006, 3
106, 49.229701580500006, 4
107, 49.689201595300005, 6
108, 50.148701610100005, 5
109, 50.608201624900005, 7
110, 51.067701639700005, 6
111, 51.527201654500004, 8
112, 51.986701669300004, 11
113, 52.446201684100004, 8
114, 52.9057016989, 8
115, 53.3652017137, 13
116, 53.8247017285, 19
117, 54.2842017433, 14
118, 54.74370175810001, 13
119, 55.20320177290001, 8
120, 55.66270178770001, 13
121, 56.12220180250001, 12
122, 56.58170181730001, 11
123, 57.04120183210001, 13
124, 57.50070184690001, 16
125, 57.96020186170001, 16
126, 58.41970187650001, 17
127, 58.879201891300006, 16
128, 59.338701906100006, 21
129, 59.798201920900006, 24
130, 60.257701935700005, 28
131, 60.717201950500005, 29
132, 61.176701965300005, 31
133, 61.636201980100005, 37
134, 62.095701994900004, 34
135, 62.555202009700004, 42
136, 63.014702024500004, 45
137, 63.4742020393, 34
138, 63.9337020541, 43
139, 64.39320206890001, 38
140, 64.8527020837, 46
141, 65.3122020985, 47
142, 65.7717021133, 44
143, 66.2312021281, 49
144, 66.6907021429, 52
145, 67.1502021577, 48
146, 67.6097021725, 47
147, 68.0692021873, 45
148, 68.52870220209999, 47
149, 68.98820221689999, 62
150, 69.4477022317, 52
151, 69.9072022465, 48
152, 70.3667022613, 55
153, 70.8262022761, 53
154, 71.2857022909, 47
155, 71.7452023057, 57
156, 72.2047023205, 54
157, 72.6642023353, 44
158, 73.1237023501, 56
159, 73.5832023649, 52
160, 74.0427023797, 50
161, 74.5022023945, 56
162, 74.9617024093, 66
163, 75.4212024241, 65
164, 75.8807024389, 52
165, 76.3402024537, 50
166, 76.7997024685, 40
167, 77.2592024833, 52
168, 77.7187024981, 42
169, 78.1782025129, 55
170, 78.6377025277, 57
171, 79.0972025425, 42
172, 79.5567025573, 51
173, 80.0162025721, 46
174, 80.4757025869, 60
175, 80.9352026017, 53
176, 81.3947026165, 45
177, 81.8542026313, 39
178, 82.3137026461, 46
179, 82.7732026609, 43
180, 83.2327026757, 51
181, 83.6922026905, 65
182, 84.1517027053, 45
183, 84.6112027201, 38
184, 85.0707027349, 45
185, 85.5302027497, 46
186, 85.9897027645, 36
187, 86.4492027793, 53
188, 86.9087027941, 43
189, 87.3682028089, 39
190, 87.8277028237, 50
191, 88.2872028385, 33
192, 88.7467028533, 52
193, 89.20620286810001, 31
194, 89.6657028829, 50
195, 90.1252028977, 52
196, 90.5847029125, 52
197, 91.0442029273, 39
198, 91.5037029421, 43
199, 91.9632029569, 55
200, 92.4227029717, 44
201, 92.8822029865, 41
202, 93.3417030013, 26
203, 93.8012030161, 56
204, 94.2607030309, 45
205, 94.7202030457, 48
206, 95.1797030605, 58
207, 95.6392030753, 38
208, 96.0987030901, 48
209, 96.5582031049, 46
210, 97.0177031197, 43
211, 97.4772031345, 42
212, 97.9367031493, 39
213, 98.3962031641, 61
214, 98.8557031789, 68
215, 99.3152031937, 47
216, 99.7747032085, 47
217, 100.2342032233, 43
218, 100.6937032381, 54
219, 101.1532032529, 40
220, 101.6127032677, 46
221, 102.0722032825, 44
222, 102.5317032973, 47
223, 102.9912033121, 40
224, 103.4507033269, 43
225, 103.9102033417, 46
226, 104.3697033565, 43
227, 104.8292033713, 55
228, 105.2887033861, 56
229, 105.7482034009, 63
230, 106.2077034157, 55
