Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 896.25
Real Time (s), 901.95
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
328, 151.23870486610002, 44
329, 151.69820488090002, 64
330, 152.15770489570002, 54
331, 152.61720491050002, 52
332, 153.07670492530002, 55
333, 153.53620494010002, 45
334, 153.99570495490002, 56
335, 154.45520496970002, 54
336, 154.91470498450002, 46
337, 155.37420499930002, 50
338, 155.83370501410002, 59
339, 156.29320502890002, 52
340, 156.75270504370002, 45
341, 157.21220505850002, 57
342, 157.67170507330002, 40
343, 158.13120508810002, 54
344, 158.59070510290002, 47
345, 159.05020511770002, 55
346, 159.50970513250002, 54
347, 159.96920514730002, 50
348, 160.42870516210002, 53
349, 160.88820517690002, 40
350, 161.34770519170002, 49
351, 161.80720520650002, 51
352, 162.26670522130001, 66
353, 162.72620523610001, 42
354, 163.1857052509, 44
355, 163.6452052657, 52
356, 164.1047052805, 43
357, 164.5642052953, 45
358, 165.0237053101, 66
359, 165.4832053249, 53
360, 165.9427053397, 59
361, 166.4022053545, 52
362, 166.8617053693, 47
363, 167.3212053841, 51
364, 167.7807053989, 43
365, 168.2402054137, 43
366, 168.6997054285, 41
367, 169.1592054433, 46
368, 169.6187054581, 56
369, 170.0782054729, 55
370, 170.5377054877, 50
371, 170.9972055025, 45
372, 171.4567055173, 64
373, 171.9162055321, 56
374, 172.3757055469, 63
375, 172.8352055617, 61
376, 173.2947055765, 50
377, 173.7542055913, 58
378, 174.2137056061, 56
379, 174.6732056209, 43
380, 175.1327056357, 53
381, 175.5922056505, 61
382, 176.0517056653, 64
383, 176.5112056801, 72
384, 176.9707056949, 66
385, 177.43020570970003, 59
386, 177.88970572450003, 60
387, 178.34920573930003, 74
388, 178.80870575410003, 62
389, 179.26820576890003, 71
390, 179.72770578370003, 72
391, 180.18720579850003, 79
392, 180.64670581330003, 87
393, 181.10620582810003, 76
394, 181.56570584290003, 70
395, 182.02520585770003, 79
396, 182.48470587250003, 72
397, 182.94420588730003, 71
398, 183.40370590210003, 82
399, 183.86320591690003, 65
400, 184.32270593170003, 75
401, 184.78220594650003, 68
402, 185.24170596130003, 88
403, 185.70120597610003, 56
404, 186.16070599090003, 82
405, 186.62020600570003, 79
406, 187.07970602050003, 71
407, 187.53920603530003, 72
408, 187.99870605010003, 80
409, 188.45820606490003, 77
410, 188.91770607970003, 64
411, 189.37720609450002, 68
412, 189.83670610930002, 62
413, 190.29620612410002, 61
414, 190.75570613890002, 60
415, 191.21520615370002, 52
416, 191.67470616850002, 65
417, 192.13420618330002, 48
418, 192.59370619810002, 44
419, 193.05320621290002, 46
420, 193.51270622770002, 50
421, 193.97220624250002, 46
422, 194.43170625730002, 46
423, 194.89120627210002, 40
424, 195.35070628690002, 45
425, 195.81020630170002, 39
426, 196.26970631650002, 39
427, 196.72920633130002, 54
428, 197.18870634610002, 37
429, 197.64820636090002, 29
430, 198.10770637570002, 44
431, 198.56720639050002, 37
432, 199.02670640530002, 39
433, 199.48620642010002, 51
434, 199.94570643490002, 50
435, 200.40520644970002, 47
436, 200.86470646450002, 48
437, 201.32420647930002, 39
438, 201.78370649410002, 41
439, 202.24320650890002, 44
440, 202.70270652370002, 47
441, 203.16220653850002, 42
442, 203.62170655330002, 36
443, 204.08120656810001, 39
444, 204.54070658290001, 46
445, 205.00020659770001, 38
446, 205.4597066125, 38
447, 205.9192066273, 40
448, 206.3787066421, 42
449, 206.8382066569, 47
450, 207.2977066717, 50
451, 207.7572066865, 45
452, 208.2167067013, 44
453, 208.6762067161, 43
454, 209.1357067309, 32
455, 209.5952067457, 47
456, 210.0547067605, 46
457, 210.5142067753, 48
458, 210.9737067901, 47
459, 211.4332068049, 45
460, 211.8927068197, 49
461, 212.3522068345, 30
462, 212.8117068493, 46
463, 213.2712068641, 33
464, 213.7307068789, 42
465, 214.1902068937, 50
466, 214.6497069085, 44
467, 215.1092069233, 53
468, 215.5687069381, 39
469, 216.0282069529, 54
470, 216.48770696770003, 52
471, 216.94720698250003, 50
472, 217.40670699730003, 52
473, 217.86620701210003, 52
474, 218.32570702690003, 49
475, 218.78520704170003, 49
476, 219.24470705650003, 46
477, 219.70420707130003, 63
478, 220.16370708610003, 53
479, 220.62320710090003, 53
480, 221.08270711570003, 67
481, 221.54220713050003, 39
482, 222.00170714530003, 47
483, 222.46120716010003, 57
484, 222.92070717490003, 61
485, 223.38020718970003, 57
486, 223.83970720450003, 52
487, 224.29920721930003, 37
488, 224.75870723410003, 52
489, 225.21820724890003, 41
490, 225.67770726370003, 47
491, 226.13720727850003, 49
492, 226.59670729330003, 54
493, 227.05620730810003, 44
494, 227.51570732290003, 47
495, 227.97520733770003, 55
496, 228.43470735250003, 45
497, 228.89420736730003, 49
498, 229.35370738210003, 43
499, 229.81320739690003, 39
500, 230.27270741170003, 54
501, 230.73220742650003, 43
502, 231.19170744130003, 48
503, 231.65120745610002, 42
504, 232.11070747090002, 64
505, 232.57020748570002, 49
506, 233.02970750050002, 52
507, 233.48920751530002, 40
508, 233.94870753010002, 49
509, 234.40820754490002, 49
510, 234.86770755970002, 41
511, 235.32720757450002, 57
512, 235.78670758930002, 59
513, 236.24620760410002, 52
514, 236.70570761890002, 52
515, 237.16520763370002, 38
516, 237.62470764850002, 53
517, 238.08420766330002, 49
518, 238.54370767810002, 56
519, 239.00320769290002, 47
520, 239.46270770770002, 57
521, 239.92220772250002, 59
522, 240.38170773730002, 46
523, 240.84120775210002, 55
524, 241.30070776690002, 55
525, 241.76020778170002, 37
526, 242.21970779650002, 50
527, 242.67920781130002, 57
528, 243.13870782610002, 61
529, 243.59820784090002, 67
530, 244.05770785570002, 61
531, 244.51720787050002, 72
532, 244.97670788530002, 64
533, 245.43620790010002, 61
534, 245.89570791490002, 78
535, 246.35520792970001, 59
536, 246.81470794450001, 67
537, 247.2742079593, 79
538, 247.7337079741, 70
539, 248.1932079889, 80
540, 248.6527080037, 75
541, 249.1122080185, 73
542, 249.5717080333, 83
543, 250.0312080481, 81
544, 250.4907080629, 74
545, 250.9502080777, 79
546, 251.4097080925, 80
547, 251.8692081073, 81
548, 252.3287081221, 90
549, 252.7882081369, 89
550, 253.2477081517, 89
551, 253.7072081665, 87
552, 254.1667081813, 103
553, 254.6262081961, 99
554, 255.0857082109, 99
555, 255.54520822570004, 99
556, 256.0047082405, 108
557, 256.46420825530004, 127
558, 256.9237082701, 128
559, 257.38320828490004, 143
560, 257.8427082997, 147
561, 258.30220831450004, 167
562, 258.7617083293, 203
563, 259.22120834410003, 197
564, 259.6807083589, 227
565, 260.14020837370003, 251
566, 260.5997083885, 279
567, 261.05920840330003, 297
568, 261.5187084181, 345
569, 261.97820843290003, 395
570, 262.4377084477, 445
571, 262.89720846250003, 429
572, 263.3567084773, 530
573, 263.81620849210003, 578
574, 264.2757085069, 625
575, 264.73520852170003, 673
576, 265.1947085365, 770
577, 265.65420855130003, 852
578, 266.1137085661, 840
579, 266.57320858090003, 913
580, 267.0327085957, 937
581, 267.49220861050003, 979
582, 267.9517086253, 1057
583, 268.4112086401, 1073
584, 268.8707086549, 1078
585, 269.3302086697, 1153
586, 269.7897086845, 1135
587, 270.2492086993, 1136
588, 270.7087087141, 1137
589, 271.1682087289, 1053
590, 271.6277087437, 1062
591, 272.0872087585, 1068
592, 272.5467087733, 1120
593, 273.0062087881, 1062
594, 273.4657088029, 952
595, 273.9252088177, 933
596, 274.3847088325, 854
597, 274.8442088473, 804
598, 275.30370886210005, 695
599, 275.7632088769, 673
600, 276.22270889170005, 662
601, 276.6822089065, 611
602, 277.14170892130005, 578
603, 277.6012089361, 534
604, 278.06070895090005, 408
605, 278.5202089657, 364
606, 278.97970898050005, 372
607, 279.4392089953, 315
608, 279.89870901010005, 230
609, 280.3582090249, 237
610, 280.81770903970005, 183
611, 281.2772090545, 182
612, 281.73670906930005, 161
613, 282.1962090841, 153
614, 282.65570909890005, 132
615, 283.1152091137, 117
616, 283.57470912850005, 109
617, 284.0342091433, 110
618, 284.49370915810005, 93
619, 284.9532091729, 80
620, 285.41270918770005, 89
621, 285.8722092025, 69
622, 286.33170921730004, 65
623, 286.7912092321, 72
624, 287.25070924690004, 65
625, 287.7102092617, 82
626, 288.16970927650004, 68
627, 288.6292092913, 68
628, 289.08870930610004, 65
629, 289.5482093209, 58
630, 290.00770933570004, 60
631, 290.4672093505, 63
632, 290.92670936530004, 70
633, 291.3862093801, 72
634, 291.84570939490004, 73
635, 292.3052094097, 58
636, 292.76470942450004, 65
637, 293.2242094393, 59
638, 293.68370945410004, 83
639, 294.1432094689, 90
640, 294.60270948370004, 87
641, 295.0622094985, 102
642, 295.52170951330004, 99
643, 295.9812095281, 111
644, 296.44070954290004, 122
645, 296.9002095577, 140
646, 297.35970957250004, 155
647, 297.8192095873, 176
648, 298.27870960210004, 198
649, 298.7382096169, 232
650, 299.19770963170004, 238
651, 299.6572096465, 220
652, 300.11670966130004, 280
653, 300.5762096761, 291
654, 301.03570969090003, 278
655, 301.4952097057, 361
656, 301.95470972050003, 360
657, 302.4142097353, 413
658, 302.87370975010003, 435
659, 303.3332097649, 428
660, 303.79270977970003, 459
661, 304.2522097945, 465
662, 304.71170980930003, 518
663, 305.1712098241, 477
664, 305.63070983890003, 481
665, 306.0902098537, 495
666, 306.54970986850003, 515
667, 307.0092098833, 494
668, 307.46870989810003, 543
669, 307.9282099129, 526
670, 308.38770992770003, 481
671, 308.8472099425, 496
672, 309.30670995730003, 448
673, 309.7662099721, 462
674, 310.22570998690003, 437
675, 310.6852100017, 456
676, 311.1447100165, 408
677, 311.6042100313, 383
678, 312.0637100461, 365
679, 312.5232100609, 350
680, 312.9827100757, 337
681, 313.4422100905, 301
682, 313.9017101053, 319
683, 314.36121012010005, 280
684, 314.8207101349, 251
685, 315.28021014970005, 230
686, 315.7397101645, 248
687, 316.19921017930005, 200
688, 316.6587101941, 201
689, 317.11821020890005, 172
690, 317.5777102237, 161
691, 318.03721023850005, 155
692, 318.4967102533, 146
693, 318.95621026810005, 143
694, 319.4157102829, 114
695, 319.87521029770005, 97
696, 320.3347103125, 105
697, 320.79421032730005, 78
698, 321.2537103421, 87
699, 321.71321035690005, 85
700, 322.1727103717, 77
701, 322.63221038650005, 72
702, 323.0917104013, 62
703, 323.55121041610005, 76
704, 324.0107104309, 38
705, 324.47021044570005, 68
706, 324.9297104605, 45
707, 325.38921047530005, 42
708, 325.8487104901, 52
709, 326.30821050490005, 35
710, 326.7677105197, 42
711, 327.22721053450005, 44
712, 327.6867105493, 58
713, 328.14621056410004, 51
714, 328.6057105789, 50
715, 329.06521059370004, 46
716, 329.5247106085, 48
717, 329.98421062330004, 44
718, 330.4437106381, 40
719, 330.90321065290004, 43
720, 331.3627106677, 36
721, 331.82221068250004, 54
722, 332.2817106973, 42
723, 332.74121071210004, 34
724, 333.2007107269, 36
725, 333.66021074170004, 40
726, 334.1197107565, 41
727, 334.57921077130004, 37
728, 335.0387107861, 36
729, 335.49821080090004, 40
730, 335.9577108157, 55
731, 336.41721083050004, 43
732, 336.8767108453, 45
733, 337.33621086010004, 39
734, 337.7957108749, 39
735, 338.25521088970004, 38
736, 338.7147109045, 39
737, 339.17421091930004, 43
738, 339.6337109341, 43
739, 340.09321094890004, 29
740, 340.5527109637, 41
741, 341.01221097850004, 30
742, 341.4717109933, 43
743, 341.93121100810004, 40
744, 342.3907110229, 33
745, 342.85021103770003, 42
746, 343.3097110525, 33
747, 343.76921106730003, 32
748, 344.2287110821, 43
749, 344.68821109690003, 40
750, 345.1477111117, 34
751, 345.60721112650003, 35
752, 346.0667111413, 44
753, 346.52621115610003, 31
754, 346.9857111709, 38
755, 347.44521118570003, 50
756, 347.9047112005, 49
757, 348.36421121530003, 38
