Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 742.6
Real Time (s), 950.4
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
555, 255.54520822570004, 3031
556, 256.0047082405, 2914
557, 256.46420825530004, 2936
558, 256.9237082701, 2988
559, 257.38320828490004, 2966
560, 257.8427082997, 2962
561, 258.30220831450004, 3041
562, 258.7617083293, 2961
563, 259.22120834410003, 2903
564, 259.6807083589, 2980
565, 260.14020837370003, 3083
566, 260.5997083885, 3091
567, 261.05920840330003, 3058
568, 261.5187084181, 3022
569, 261.97820843290003, 2978
570, 262.4377084477, 3103
571, 262.89720846250003, 3040
572, 263.3567084773, 3071
573, 263.81620849210003, 3129
574, 264.2757085069, 3121
575, 264.73520852170003, 3153
576, 265.1947085365, 3089
577, 265.65420855130003, 3105
578, 266.1137085661, 3251
579, 266.57320858090003, 3170
580, 267.0327085957, 3214
581, 267.49220861050003, 3151
582, 267.9517086253, 3194
583, 268.4112086401, 3240
584, 268.8707086549, 3237
585, 269.3302086697, 3263
586, 269.7897086845, 3256
587, 270.2492086993, 3238
588, 270.7087087141, 3333
589, 271.1682087289, 3191
590, 271.6277087437, 3303
591, 272.0872087585, 3199
592, 272.5467087733, 3244
593, 273.0062087881, 3332
594, 273.4657088029, 3284
595, 273.9252088177, 3266
596, 274.3847088325, 3313
597, 274.8442088473, 3382
598, 275.30370886210005, 3440
599, 275.7632088769, 3342
600, 276.22270889170005, 3332
601, 276.6822089065, 3358
602, 277.14170892130005, 3441
603, 277.6012089361, 3344
604, 278.06070895090005, 3417
605, 278.5202089657, 3474
606, 278.97970898050005, 3383
607, 279.4392089953, 3528
608, 279.89870901010005, 3466
609, 280.3582090249, 3460
610, 280.81770903970005, 3576
611, 281.2772090545, 3543
612, 281.73670906930005, 3599
613, 282.1962090841, 3569
614, 282.65570909890005, 3505
615, 283.1152091137, 3554
616, 283.57470912850005, 3618
617, 284.0342091433, 3582
618, 284.49370915810005, 3634
619, 284.9532091729, 3633
620, 285.41270918770005, 3558
621, 285.8722092025, 3595
622, 286.33170921730004, 3633
623, 286.7912092321, 3580
624, 287.25070924690004, 3582
625, 287.7102092617, 3530
626, 288.16970927650004, 3747
627, 288.6292092913, 3651
628, 289.08870930610004, 3666
629, 289.5482093209, 3762
630, 290.00770933570004, 3705
631, 290.4672093505, 3725
632, 290.92670936530004, 3726
633, 291.3862093801, 3682
634, 291.84570939490004, 3728
635, 292.3052094097, 3760
636, 292.76470942450004, 3649
637, 293.2242094393, 3828
638, 293.68370945410004, 3824
639, 294.1432094689, 3864
640, 294.60270948370004, 3711
641, 295.0622094985, 3814
642, 295.52170951330004, 3712
643, 295.9812095281, 3759
644, 296.44070954290004, 3771
645, 296.9002095577, 3849
646, 297.35970957250004, 3772
647, 297.8192095873, 3825
648, 298.27870960210004, 3812
649, 298.7382096169, 3837
650, 299.19770963170004, 3911
651, 299.6572096465, 3921
652, 300.11670966130004, 3981
653, 300.5762096761, 3970
654, 301.03570969090003, 3860
655, 301.4952097057, 3899
656, 301.95470972050003, 3943
657, 302.4142097353, 3876
658, 302.87370975010003, 3948
659, 303.3332097649, 3984
660, 303.79270977970003, 3972
661, 304.2522097945, 3943
662, 304.71170980930003, 4050
663, 305.1712098241, 3970
664, 305.63070983890003, 3976
665, 306.0902098537, 3852
666, 306.54970986850003, 4017
667, 307.0092098833, 4018
668, 307.46870989810003, 3946
669, 307.9282099129, 3956
670, 308.38770992770003, 4041
671, 308.8472099425, 3993
672, 309.30670995730003, 4088
673, 309.7662099721, 3990
674, 310.22570998690003, 4014
675, 310.6852100017, 4063
676, 311.1447100165, 4140
677, 311.6042100313, 4069
678, 312.0637100461, 4105
679, 312.5232100609, 4309
680, 312.9827100757, 4145
681, 313.4422100905, 3982
682, 313.9017101053, 4047
683, 314.36121012010005, 4020
684, 314.8207101349, 4091
685, 315.28021014970005, 4125
686, 315.7397101645, 4133
687, 316.19921017930005, 3948
688, 316.6587101941, 4122
689, 317.11821020890005, 4128
690, 317.5777102237, 4114
691, 318.03721023850005, 4109
692, 318.4967102533, 4004
693, 318.95621026810005, 4047
694, 319.4157102829, 4064
695, 319.87521029770005, 4183
696, 320.3347103125, 4122
697, 320.79421032730005, 4141
698, 321.2537103421, 4049
699, 321.71321035690005, 4033
700, 322.1727103717, 4002
701, 322.63221038650005, 4069
702, 323.0917104013, 3999
703, 323.55121041610005, 3936
704, 324.0107104309, 3947
705, 324.47021044570005, 3967
706, 324.9297104605, 4094
707, 325.38921047530005, 4068
708, 325.8487104901, 4123
709, 326.30821050490005, 3897
710, 326.7677105197, 3991
711, 327.22721053450005, 3943
712, 327.6867105493, 3975
713, 328.14621056410004, 3882
714, 328.6057105789, 4056
715, 329.06521059370004, 3924
716, 329.5247106085, 3919
717, 329.98421062330004, 3949
718, 330.4437106381, 3976
719, 330.90321065290004, 3938
720, 331.3627106677, 3898
721, 331.82221068250004, 3887
722, 332.2817106973, 3851
723, 332.74121071210004, 3788
724, 333.2007107269, 3923
725, 333.66021074170004, 3882
726, 334.1197107565, 3789
727, 334.57921077130004, 3794
728, 335.0387107861, 3843
729, 335.49821080090004, 3666
730, 335.9577108157, 3753
731, 336.41721083050004, 3734
732, 336.8767108453, 3751
733, 337.33621086010004, 3723
734, 337.7957108749, 3715
735, 338.25521088970004, 3600
736, 338.7147109045, 3676
737, 339.17421091930004, 3554
738, 339.6337109341, 3515
739, 340.09321094890004, 3574
740, 340.5527109637, 3551
741, 341.01221097850004, 3501
742, 341.4717109933, 3483
743, 341.93121100810004, 3406
744, 342.3907110229, 3490
745, 342.85021103770003, 3433
746, 343.3097110525, 3322
747, 343.76921106730003, 3369
748, 344.2287110821, 3286
749, 344.68821109690003, 3291
750, 345.1477111117, 3231
751, 345.60721112650003, 3273
752, 346.0667111413, 3243
753, 346.52621115610003, 3170
754, 346.9857111709, 3170
755, 347.44521118570003, 3153
756, 347.9047112005, 3022
757, 348.36421121530003, 3078
758, 348.8237112301, 3062
759, 349.28321124490003, 2992
760, 349.7427112597, 3021
761, 350.20221127450003, 2924
762, 350.6617112893, 2881
763, 351.12121130410003, 2819
764, 351.5807113189, 2862
765, 352.04021133370003, 2816
766, 352.4997113485, 2781
767, 352.9592113633, 2790
768, 353.4187113781, 2785
769, 353.8782113929, 2778
770, 354.33771140770006, 2665
771, 354.7972114225, 2788
772, 355.25671143730005, 2638
773, 355.7162114521, 2581
774, 356.17571146690005, 2621
775, 356.6352114817, 2682
776, 357.09471149650005, 2586
777, 357.5542115113, 2649
778, 358.01371152610005, 2538
779, 358.4732115409, 2522
780, 358.93271155570005, 2506
781, 359.3922115705, 2515
782, 359.85171158530005, 2470
783, 360.3112116001, 2549
784, 360.77071161490005, 2452
785, 361.2302116297, 2401
786, 361.68971164450005, 2477
787, 362.1492116593, 2334
788, 362.60871167410005, 2359
789, 363.0682116889, 2357
790, 363.52771170370005, 2383
791, 363.9872117185, 2220
792, 364.44671173330005, 2294
793, 364.9062117481, 2269
794, 365.36571176290005, 2260
795, 365.8252117777, 2341
796, 366.28471179250005, 2249
797, 366.7442118073, 2231
798, 367.20371182210005, 2197
799, 367.6632118369, 2262
800, 368.12271185170005, 2225
801, 368.5822118665, 2224
802, 369.04171188130005, 2130
803, 369.5012118961, 2151
804, 369.96071191090005, 2166
805, 370.4202119257, 2139
806, 370.87971194050004, 2194
807, 371.3392119553, 2145
808, 371.79871197010004, 2144
809, 372.2582119849, 2104
810, 372.71771199970004, 2057
811, 373.1772120145, 2146
812, 373.63671202930004, 2118
813, 374.0962120441, 2037
814, 374.55571205890004, 2069
815, 375.0152120737, 2063
816, 375.47471208850004, 2121
817, 375.9342121033, 2040
818, 376.39371211810004, 2079
819, 376.8532121329, 2052
820, 377.31271214770004, 2043
821, 377.7722121625, 2056
822, 378.23171217730004, 1945
823, 378.6912121921, 1984
824, 379.15071220690004, 2017
825, 379.6102122217, 1961
826, 380.06971223650004, 1988
827, 380.5292122513, 2004
828, 380.98871226610004, 1992
829, 381.4482122809, 1970
830, 381.90771229570004, 2042
831, 382.3672123105, 1979
832, 382.82671232530004, 1916
833, 383.2862123401, 1955
834, 383.74571235490004, 1899
835, 384.2052123697, 1941
836, 384.66471238450004, 1888
837, 385.1242123993, 1826
838, 385.58371241410003, 1922
839, 386.0432124289, 1836
840, 386.50271244370003, 1909
841, 386.9622124585, 1862
842, 387.42171247330003, 1908
843, 387.8812124881, 1869
844, 388.34071250290003, 1926
845, 388.8002125177, 1818
846, 389.25971253250003, 1880
847, 389.7192125473, 1791
848, 390.17871256210003, 1868
849, 390.6382125769, 1840
850, 391.09771259170003, 1802
851, 391.5572126065, 1895
852, 392.01671262130003, 1837
853, 392.4762126361, 1849
854, 392.93571265090003, 1804
855, 393.39521266570006, 1850
856, 393.85471268050003, 1840
857, 394.31421269530006, 1860
858, 394.7737127101, 1756
859, 395.23321272490006, 1802
860, 395.6927127397, 1717
861, 396.15221275450006, 1836
862, 396.6117127693, 1784
863, 397.07121278410006, 1747
864, 397.5307127989, 1854
865, 397.99021281370005, 1772
866, 398.4497128285, 1827
867, 398.90921284330005, 1757
868, 399.3687128581, 1822
869, 399.82821287290005, 1746
870, 400.2877128877, 1768
871, 400.74721290250005, 1828
872, 401.2067129173, 1804
873, 401.66621293210005, 1770
874, 402.1257129469, 1763
875, 402.58521296170005, 1825
876, 403.0447129765, 1699
877, 403.50421299130005, 1762
878, 403.9637130061, 1686
879, 404.42321302090005, 1716
880, 404.8827130357, 1748
881, 405.34221305050005, 1705
882, 405.8017130653, 1715
883, 406.26121308010005, 1714
884, 406.7207130949, 1710
885, 407.18021310970005, 1705
886, 407.6397131245, 1632
887, 408.09921313930005, 1602
888, 408.5587131541, 1688
889, 409.01821316890005, 1632
890, 409.4777131837, 1665
891, 409.93721319850005, 1652
892, 410.3967132133, 1734
893, 410.85621322810005, 1658
894, 411.3157132429, 1659
895, 411.77521325770005, 1678
896, 412.2347132725, 1616
897, 412.69421328730004, 1609
898, 413.1537133021, 1712
899, 413.61321331690004, 1620
900, 414.0727133317, 1554
901, 414.53221334650004, 1632
902, 414.9917133613, 1659
903, 415.45121337610004, 1674
904, 415.9107133909, 1648
905, 416.37021340570004, 1656
906, 416.8297134205, 1618
907, 417.28921343530004, 1638
908, 417.7487134501, 1564
909, 418.20821346490004, 1624
910, 418.6677134797, 1565
911, 419.12721349450004, 1545
912, 419.5867135093, 1508
913, 420.04621352410004, 1624
914, 420.5057135389, 1580
915, 420.96521355370004, 1532
916, 421.4247135685, 1601
917, 421.88421358330004, 1650
918, 422.3437135981, 1551
919, 422.80321361290004, 1590
920, 423.2627136277, 1538
921, 423.72221364250004, 1589
922, 424.1817136573, 1577
923, 424.64121367210004, 1655
924, 425.1007136869, 1582
925, 425.56021370170004, 1565
926, 426.0197137165, 1562
927, 426.47921373130004, 1492
928, 426.9387137461, 1584
929, 427.39821376090003, 1620
930, 427.8577137757, 1538
931, 428.31721379050003, 1633
932, 428.7767138053, 1545
933, 429.23621382010003, 1491
934, 429.6957138349, 1509
935, 430.15521384970003, 1490
936, 430.6147138645, 1548
937, 431.07421387930003, 1531
938, 431.5337138941, 1539
939, 431.99321390890003, 1503
940, 432.45271392370006, 1519
941, 432.91221393850003, 1481
942, 433.37171395330006, 1446
943, 433.83121396810003, 1509
944, 434.29071398290006, 1540
945, 434.75021399770003, 1485
946, 435.20971401250006, 1533
947, 435.66921402730003, 1478
948, 436.12871404210006, 1523
949, 436.58821405690003, 1502
950, 437.04771407170006, 1561
951, 437.5072140865, 1527
952, 437.96671410130006, 1502
